Years_of_Experience,Education_Level,Number_of_Skills,Certifications,Projects,Resume_Score
3.1,Bachelor's,11,2,3,34.37
5.5,Bachelor's,3,2,4,34.2
2.3,Master's,4,1,7,32.43
1.3,PhD,10,4,6,59.5
4.2,Master's,11,0,2,51.39
7.1,Diploma,9,1,10,53.88
1.0,Bachelor's,6,0,6,25.63
2.6,Master's,9,1,6,50.3
4.1,Master's,7,1,3,43.62
4.1,Master's,12,1,4,54.63
5.9,Master's,14,1,8,76.62
13.2,Bachelor's,11,0,7,70.6
0.3,Bachelor's,9,1,1,10.8
13.6,Master's,19,6,7,100.0
12.8,Bachelor's,14,1,5,72.43
7.5,Master's,14,6,5,93.49
4.7,Master's,14,3,5,72.98
2.3,Master's,15,2,3,58.29
7.5,Bachelor's,12,4,8,69.56
4.9,Master's,8,3,6,61.14
3.1,Diploma,12,1,2,14.47
7.3,Diploma,13,1,3,40.96
8.2,Bachelor's,15,2,10,88.36
10.2,Diploma,9,0,6,56.13
2.1,PhD,6,0,1,32.41
9.3,Master's,11,5,4,89.56
3.2,High School,11,0,3,0.0
4.7,Master's,11,2,3,56.55
5.5,Bachelor's,15,1,4,44.09
8.8,Master's,17,1,14,100.0
6.8,Master's,14,0,7,60.35
3.1,Bachelor's,5,1,6,20.38
0.4,Diploma,8,0,2,5.46
5.9,High School,8,1,4,28.75
4.6,Bachelor's,9,1,6,49.19
1.2,PhD,14,4,1,60.59
5.0,Bachelor's,8,5,5,48.85
4.1,Bachelor's,14,0,5,40.91
10.2,High School,12,2,5,47.04
14.2,Master's,11,2,12,100.0
8.1,Bachelor's,9,1,2,32.37
3.9,Master's,8,1,9,65.59
4.4,Master's,7,3,4,59.57
2.0,Bachelor's,12,0,3,41.15
2.4,Diploma,10,2,4,13.59
3.7,Bachelor's,4,2,3,16.91
3.4,Bachelor's,5,0,6,25.59
1.1,Master's,15,2,3,51.45
10.2,Master's,10,5,3,77.25
11.2,Bachelor's,10,2,7,64.54
10.0,Bachelor's,8,2,6,52.32
11.5,High School,5,3,5,53.08
16.9,Bachelor's,10,2,3,65.35
2.1,Master's,13,1,4,36.42
16.4,Master's,10,3,16,100.0
3.1,Master's,14,1,3,51.65
6.5,Diploma,10,1,3,28.21
0.9,Bachelor's,1,1,1,0.0
2.7,Bachelor's,15,0,3,31.2
8.3,PhD,10,5,17,100.0
6.8,Master's,16,2,7,82.95
3.0,PhD,10,1,3,62.42
4.4,Diploma,9,4,0,40.08
2.5,Bachelor's,9,1,4,28.23
8.3,Master's,7,6,6,87.73
10.7,Bachelor's,16,1,9,85.87
2.1,Bachelor's,9,1,1,25.0
4.0,Bachelor's,9,0,4,31.88
1.1,PhD,14,2,3,64.78
4.9,Diploma,3,1,3,15.31
6.0,PhD,8,2,4,65.73
5.2,Bachelor's,9,2,10,60.67
5.7,Bachelor's,11,3,4,60.56
3.7,Bachelor's,7,1,6,33.06
3.8,Bachelor's,11,0,2,23.04
3.6,PhD,8,2,3,41.16
2.7,Master's,11,4,8,73.97
3.0,PhD,9,2,3,58.28
5.8,PhD,9,1,7,55.8
10.2,Master's,11,1,8,74.27
1.7,Bachelor's,11,0,4,32.51
3.8,Master's,13,1,4,51.83
1.4,High School,4,0,4,0.0
2.7,Master's,6,6,3,60.49
3.1,Bachelor's,7,0,1,12.06
4.6,Master's,9,4,3,59.84
4.6,Bachelor's,10,0,7,34.04
4.0,Bachelor's,10,1,2,32.81
5.5,High School,7,4,12,40.68
1.9,Bachelor's,10,1,3,17.44
4.7,Bachelor's,18,2,5,60.96
6.9,Bachelor's,11,0,4,46.33
1.9,Bachelor's,11,0,3,25.02
0.7,Bachelor's,13,1,2,21.77
8.2,Bachelor's,12,1,6,65.53
1.5,Master's,6,2,4,36.69
2.6,Diploma,11,2,4,36.44
6.8,Bachelor's,4,0,4,18.96
1.8,Diploma,10,0,5,28.12
7.8,Bachelor's,10,0,5,57.17
2.3,Bachelor's,7,2,1,26.63
2.0,Bachelor's,11,0,1,22.63
1.4,Bachelor's,9,1,2,23.87
2.3,Bachelor's,5,1,6,27.65
6.1,Diploma,9,0,4,14.82
2.6,Bachelor's,8,0,3,15.22
8.2,Bachelor's,12,4,2,60.66
4.1,Master's,15,2,4,55.61
4.4,Bachelor's,11,1,6,56.09
2.0,Master's,12,2,2,47.74
9.1,Bachelor's,14,6,3,94.26
6.9,Bachelor's,6,1,3,38.1
6.8,Bachelor's,7,0,5,25.24
3.5,High School,8,2,2,17.76
1.2,Bachelor's,8,2,4,24.55
4.6,Master's,9,0,5,54.1
5.9,Master's,7,0,5,54.27
6.0,Bachelor's,9,2,4,54.3
5.4,Diploma,8,2,4,37.83
5.3,Master's,9,6,5,77.57
2.3,Diploma,9,1,4,18.37
2.4,Bachelor's,1,1,3,21.14
1.4,Master's,9,3,9,62.55
8.3,Bachelor's,7,1,8,50.64
13.8,Diploma,3,4,5,58.5
22.7,Bachelor's,16,3,9,100.0
4.8,Bachelor's,11,1,4,49.0
5.3,Diploma,5,1,2,3.98
3.7,Master's,12,1,4,58.19
4.8,Bachelor's,9,1,3,38.24
1.8,Bachelor's,10,1,5,30.04
3.6,Bachelor's,7,1,11,42.41
2.0,Master's,3,2,4,39.28
3.2,Bachelor's,5,1,4,33.23
2.2,Master's,13,4,5,76.8
5.9,Bachelor's,8,2,0,20.3
6.5,Diploma,16,0,3,38.1
5.2,Bachelor's,12,0,6,45.95
2.4,Bachelor's,14,0,1,38.34
1.3,Bachelor's,16,1,4,48.23
6.5,Master's,12,1,5,59.78
4.1,Master's,8,1,1,34.36
0.6,Master's,9,0,2,28.71
4.6,Bachelor's,7,0,3,28.66
5.3,Bachelor's,4,0,6,39.35
0.9,Bachelor's,9,1,7,44.18
6.0,Bachelor's,6,1,5,44.7
1.1,Master's,7,2,5,32.84
2.2,Master's,10,1,3,33.0
1.1,Bachelor's,12,0,5,23.23
2.0,Master's,10,2,4,48.35
1.3,Master's,11,1,4,37.36
8.3,Bachelor's,7,3,5,58.45
3.4,Master's,8,2,7,58.92
2.8,Diploma,8,2,4,24.09
8.8,High School,9,2,8,50.44
8.5,Bachelor's,4,4,2,38.94
3.0,Bachelor's,7,3,6,30.75
5.1,Bachelor's,7,2,7,40.85
2.5,PhD,8,2,6,64.57
3.8,Bachelor's,13,0,3,48.7
1.6,Bachelor's,8,1,6,41.34
5.6,Bachelor's,7,2,4,37.24
9.0,High School,6,3,4,37.54
8.0,Master's,9,3,4,55.3
4.3,Bachelor's,14,1,4,58.07
0.6,PhD,15,2,3,64.39
2.4,Master's,15,2,3,61.35
3.8,Diploma,9,2,5,16.74
1.2,Diploma,7,0,4,9.51
1.0,Diploma,11,1,2,27.34
10.7,PhD,15,1,12,100.0
7.3,Master's,21,2,4,86.41
5.9,Bachelor's,15,1,3,49.0
6.8,Bachelor's,11,1,7,50.59
1.4,Master's,11,2,4,46.84
1.9,Bachelor's,8,0,3,8.97
4.9,Master's,12,5,5,79.23
5.1,Master's,15,2,3,71.72
1.1,Bachelor's,11,0,3,19.48
4.6,Bachelor's,11,2,7,56.96
3.9,Bachelor's,10,1,1,26.88
7.8,Bachelor's,10,5,2,63.52
5.2,PhD,12,4,3,83.21
11.6,Master's,14,2,10,100.0
3.0,Master's,14,2,3,61.35
1.5,Bachelor's,11,0,1,21.77
11.4,Bachelor's,13,1,7,80.51
5.4,Master's,9,1,7,59.7
3.9,Bachelor's,6,1,2,23.32
2.0,Diploma,3,2,3,10.66
3.1,Bachelor's,10,2,4,38.01
2.9,Bachelor's,10,0,2,25.95
1.4,Master's,11,3,3,41.4
0.4,Bachelor's,10,1,5,15.49
2.9,Master's,5,3,7,50.69
6.9,Bachelor's,10,2,5,46.78
9.6,Bachelor's,11,2,5,77.17
8.0,Diploma,5,1,5,23.22
8.3,Master's,13,0,3,64.45
1.6,Bachelor's,8,1,4,19.44
4.9,Bachelor's,9,1,4,36.56
6.0,Bachelor's,13,1,9,55.89
6.2,Master's,12,5,5,70.8
3.8,Master's,17,5,2,77.69
4.5,Bachelor's,17,1,6,57.35
7.9,PhD,17,0,12,100.0
5.8,High School,7,4,6,43.26
6.6,Diploma,6,3,2,16.16
2.8,Bachelor's,15,1,3,49.45
6.4,Master's,7,4,3,50.52
4.4,Bachelor's,10,2,7,48.38
7.3,Bachelor's,15,2,2,46.1
2.3,Bachelor's,6,4,6,31.61
6.9,Bachelor's,5,2,4,23.27
3.1,Master's,13,0,3,40.2
6.9,PhD,17,2,5,89.84
4.9,Bachelor's,17,1,5,55.45
4.2,Bachelor's,9,0,4,16.46
3.2,Bachelor's,9,1,4,17.0
3.9,Bachelor's,16,1,5,52.96
2.9,Bachelor's,9,2,4,41.03
3.2,PhD,8,2,5,59.13
5.7,Bachelor's,12,1,3,56.63
0.8,Master's,5,0,1,11.4
6.9,Diploma,4,0,6,23.71
6.9,Master's,9,1,4,52.44
3.3,Diploma,11,0,3,12.7
4.6,PhD,13,3,6,79.64
1.8,Master's,10,0,3,38.45
5.4,Diploma,5,1,6,30.5
2.0,Master's,7,3,5,48.46
0.1,Bachelor's,7,2,2,28.03
9.3,Bachelor's,10,1,4,55.08
1.6,Bachelor's,6,0,3,14.38
3.8,Master's,10,2,5,64.53
4.7,Master's,10,2,4,47.92
5.7,Bachelor's,13,0,2,48.09
4.1,Master's,18,1,10,76.04
5.0,Bachelor's,9,0,4,30.03
3.3,Diploma,9,1,3,4.93
0.9,Bachelor's,14,0,2,27.66
4.0,Diploma,10,1,4,35.56
6.3,Bachelor's,16,3,3,56.58
1.7,Bachelor's,15,2,1,34.91
4.7,Bachelor's,10,1,3,33.6
13.1,Bachelor's,11,3,5,76.03
3.8,Master's,6,4,8,54.6
3.9,Bachelor's,9,2,6,44.33
0.9,Master's,8,3,1,44.72
1.5,Bachelor's,7,1,2,12.11
2.0,Bachelor's,10,0,4,27.21
6.1,Bachelor's,14,0,6,54.52
1.8,Master's,7,2,3,31.73
5.4,Diploma,9,1,3,26.68
2.2,Bachelor's,10,1,2,22.12
0.9,Master's,13,0,4,42.72
6.6,Master's,5,1,4,41.77
3.0,Bachelor's,7,2,3,17.52
5.7,High School,7,1,0,0.0
0.9,Diploma,8,0,1,0.0
0.3,Bachelor's,5,0,2,0.0
4.4,Master's,14,2,5,70.78
1.5,Bachelor's,7,0,4,11.6
4.4,High School,10,0,2,4.27
4.4,Diploma,1,1,4,0.98
4.0,Bachelor's,10,0,5,28.2
8.3,Master's,14,0,6,85.88
5.3,High School,8,2,4,13.46
13.1,High School,5,1,6,26.45
3.0,Bachelor's,9,2,3,25.99
1.2,Diploma,9,1,8,27.54
2.3,Bachelor's,7,1,3,16.88
3.2,Diploma,7,1,6,24.38
13.8,Bachelor's,19,4,8,100.0
4.2,Master's,9,1,4,40.32
8.5,PhD,17,5,7,100.0
2.8,PhD,10,0,5,50.74
2.6,Bachelor's,9,2,3,36.65
0.8,High School,6,0,4,0.0
13.5,Bachelor's,5,1,5,65.6
10.5,Master's,14,2,10,87.68
4.8,Diploma,8,0,6,16.98
3.3,Bachelor's,14,1,4,36.71
4.3,Bachelor's,14,2,7,59.93
1.2,Bachelor's,13,1,1,18.18
5.7,Master's,12,3,6,66.36
9.9,Master's,3,6,6,81.77
10.2,Bachelor's,6,1,7,61.65
0.9,Master's,13,1,2,43.56
8.4,Diploma,11,4,1,48.77
1.2,Diploma,7,1,3,2.68
0.4,Bachelor's,5,0,4,9.19
8.7,Master's,12,3,5,85.71
2.6,Bachelor's,4,0,6,23.91
7.8,Diploma,19,3,3,71.17
7.4,PhD,7,1,6,72.54
6.7,Bachelor's,9,0,2,28.69
4.3,Bachelor's,9,0,3,31.65
1.3,Bachelor's,9,0,0,6.53
3.2,PhD,15,4,7,93.47
10.3,Master's,18,2,13,100.0
8.0,PhD,9,1,10,95.23
3.3,Diploma,9,2,6,36.37
3.3,Bachelor's,10,3,3,43.42
6.3,Master's,7,3,6,71.64
4.5,Bachelor's,12,0,7,40.05
3.5,Bachelor's,13,3,4,61.76
5.9,PhD,19,0,7,88.58
5.8,Diploma,14,0,3,33.89
2.4,Bachelor's,4,3,4,23.37
5.2,Master's,5,1,3,26.59
5.5,Master's,11,2,6,74.61
4.0,PhD,12,3,2,67.93
2.1,Master's,9,2,3,37.51
3.1,Diploma,12,2,2,29.27
1.8,Master's,11,0,1,26.27
5.3,Bachelor's,7,0,3,12.67
0.9,Master's,15,0,5,45.99
11.0,Bachelor's,3,1,5,32.82
9.6,Master's,12,3,9,93.49
5.6,Bachelor's,7,0,5,43.66
7.7,Master's,17,2,3,70.83
7.3,Diploma,8,4,7,59.59
4.6,Diploma,9,1,10,38.17
3.5,Bachelor's,9,3,7,50.38
3.2,High School,9,2,4,9.04
11.3,Master's,9,2,6,80.7
2.1,Bachelor's,7,1,5,36.3
2.1,Bachelor's,9,1,5,32.52
8.1,Diploma,14,0,4,46.53
7.6,Diploma,10,5,6,65.06
3.4,Bachelor's,13,1,4,39.58
6.1,Bachelor's,11,2,5,61.92
6.7,Bachelor's,5,2,6,39.07
1.2,Bachelor's,15,2,3,29.84
10.0,Bachelor's,14,2,10,78.78
6.7,Bachelor's,12,1,9,68.02
5.7,Diploma,2,3,6,24.43
6.7,Bachelor's,18,1,4,63.58
5.2,Master's,14,1,10,75.27
3.9,Bachelor's,8,1,5,35.38
4.6,Bachelor's,11,0,2,37.68
1.1,Bachelor's,5,1,2,21.14
14.3,PhD,10,4,8,100.0
3.8,Bachelor's,5,1,2,24.72
14.2,Bachelor's,9,1,9,79.94
4.7,Master's,10,3,5,51.83
2.5,Master's,14,2,8,71.54
9.8,Bachelor's,13,1,6,79.74
5.6,Master's,6,3,4,45.69
17.8,Diploma,14,4,17,100.0
2.5,Master's,9,1,1,18.99
10.1,Master's,8,2,6,69.4
10.4,Bachelor's,18,3,6,90.27
7.1,Bachelor's,14,1,1,60.35
10.5,Diploma,13,4,6,65.15
3.9,PhD,10,0,9,73.52
2.1,Diploma,10,1,3,19.48
2.7,Bachelor's,12,2,8,69.92
4.4,Master's,10,0,7,53.0
7.3,Master's,13,5,7,90.48
2.2,Diploma,6,0,4,12.61
3.2,Master's,8,1,5,45.89
2.4,Bachelor's,8,0,2,22.98
8.2,Master's,12,3,6,82.92
14.1,Diploma,8,3,14,78.82
1.8,High School,3,0,3,0.0
6.3,Bachelor's,14,1,7,64.8
8.9,Diploma,9,2,4,37.14
3.6,Bachelor's,7,2,5,37.65
1.2,High School,5,3,4,0.0
9.7,Master's,12,3,7,88.03
1.1,Master's,5,0,3,23.49
11.7,Master's,13,1,8,94.98
2.3,PhD,4,2,5,50.39
0.9,Master's,9,2,0,21.35
2.9,Bachelor's,11,0,5,22.68
4.2,Bachelor's,6,0,6,35.38
4.8,Master's,18,2,8,87.07
6.7,Master's,7,0,1,37.38
5.2,PhD,10,3,4,82.04
13.4,Master's,13,2,10,91.69
4.0,Bachelor's,12,1,6,59.98
5.4,PhD,16,3,9,94.97
5.1,PhD,10,0,6,67.2
0.8,Master's,14,1,4,46.32
1.5,Master's,10,5,6,61.24
4.4,Bachelor's,13,1,6,39.14
5.9,PhD,16,2,9,90.92
0.5,Diploma,9,1,4,16.59
13.8,Master's,9,2,4,80.23
6.2,Diploma,7,1,8,44.0
4.3,Bachelor's,12,0,5,34.85
6.0,Diploma,8,2,3,34.25
2.8,Bachelor's,11,1,2,29.53
4.9,Bachelor's,8,1,3,35.76
5.5,PhD,9,1,3,59.61
9.8,Bachelor's,12,2,9,73.85
3.7,Master's,11,2,8,66.22
1.1,Bachelor's,11,0,3,25.67
2.0,High School,4,1,3,0.0
3.5,Master's,18,0,5,73.09
1.3,Master's,9,2,2,30.26
1.8,Bachelor's,2,0,3,0.0
2.0,Master's,9,2,1,43.52
3.3,Master's,13,0,5,40.18
6.1,Bachelor's,8,3,4,54.61
3.2,PhD,14,0,5,55.32
6.4,Master's,8,2,5,51.79
4.3,Master's,8,5,6,66.73
1.9,Bachelor's,3,1,2,0.0
5.5,High School,7,4,2,13.96
4.9,Bachelor's,8,1,10,39.4
6.6,Master's,8,1,7,63.11
7.5,Master's,9,1,2,48.39
10.0,Bachelor's,13,3,13,96.85
6.3,Bachelor's,13,1,6,55.38
4.8,Diploma,8,0,2,12.73
6.6,Bachelor's,13,3,7,65.53
2.9,PhD,8,3,4,65.22
2.8,Bachelor's,8,0,5,13.13
10.9,Bachelor's,11,2,11,73.47
2.7,Bachelor's,13,0,3,41.69
2.1,Bachelor's,13,1,5,42.49
6.3,Master's,11,1,7,49.47
3.0,PhD,10,4,7,79.08
7.5,Bachelor's,8,1,2,24.12
9.5,Bachelor's,10,1,4,61.87
2.3,Bachelor's,11,2,1,36.11
6.8,Bachelor's,8,3,5,67.44
2.6,Bachelor's,10,0,5,28.02
3.6,High School,6,1,6,1.84
5.4,Master's,12,3,9,75.4
2.8,Bachelor's,10,0,1,15.23
5.0,Bachelor's,10,1,5,44.83
3.8,Diploma,11,0,1,0.56
7.6,Master's,16,3,8,92.29
7.6,Diploma,7,1,3,18.93
2.8,Bachelor's,15,1,3,37.63
5.4,Master's,10,2,7,74.25
8.4,Bachelor's,15,3,7,86.46
1.8,PhD,15,3,1,67.97
3.8,Bachelor's,7,0,6,34.32
5.3,Master's,10,1,5,51.24
1.7,PhD,15,4,1,66.66
3.1,Bachelor's,7,0,4,10.11
12.4,Master's,3,2,2,44.4
2.7,Bachelor's,8,0,6,29.68
2.9,Master's,9,5,3,48.47
6.2,Master's,16,0,9,82.1
1.5,Master's,9,2,2,35.16
3.8,PhD,14,3,3,69.83
2.1,Bachelor's,10,2,1,21.93
5.0,Bachelor's,15,2,7,67.69
0.1,Bachelor's,9,1,0,15.49
4.5,Master's,13,0,0,31.99
5.4,Master's,10,1,2,40.79
3.1,Bachelor's,10,0,5,30.31
3.3,Bachelor's,13,3,3,49.95
2.8,Bachelor's,7,1,4,27.78
3.8,Master's,10,2,6,55.67
11.0,PhD,8,1,4,77.82
7.8,Diploma,6,2,2,25.4
3.8,Diploma,9,1,1,3.76
3.1,Bachelor's,5,2,2,30.35
7.3,Diploma,13,0,4,45.09
4.8,PhD,6,3,7,57.77
1.7,Bachelor's,8,2,4,30.65
3.5,Bachelor's,3,0,1,14.18
10.3,Bachelor's,10,2,2,51.24
6.1,Bachelor's,10,3,4,57.39
3.1,PhD,10,3,4,71.66
1.1,Bachelor's,13,0,5,34.85
5.0,High School,9,2,6,42.46
4.3,Bachelor's,9,0,1,25.88
3.7,PhD,11,0,6,60.12
7.3,PhD,14,2,11,99.93
6.1,Bachelor's,12,2,8,63.14
1.1,Bachelor's,8,0,3,11.06
4.3,Diploma,9,2,6,26.74
1.4,Bachelor's,10,1,2,15.95
2.9,Diploma,8,1,0,5.04
1.3,Master's,4,1,10,47.91
1.3,PhD,11,0,7,57.65
5.4,Diploma,12,3,0,33.53
5.1,Bachelor's,16,1,5,72.02
4.1,Diploma,6,2,4,33.78
2.7,Bachelor's,4,1,7,20.27
1.2,Diploma,9,0,2,9.8
2.9,Bachelor's,7,2,1,12.95
5.1,PhD,10,1,5,64.87
5.0,High School,12,2,7,26.59
10.1,Master's,12,4,5,81.68
9.2,Diploma,10,1,4,45.71
4.2,Bachelor's,8,2,1,24.52
2.9,Bachelor's,15,1,2,30.82
2.1,PhD,10,0,6,47.24
1.0,Diploma,10,2,2,8.85
1.5,Diploma,11,0,1,10.3
5.1,Master's,9,0,4,51.44
6.4,Master's,5,1,5,43.2
3.3,Master's,7,3,3,51.34
17.4,High School,14,3,7,78.4
1.6,Bachelor's,7,3,1,21.83
0.9,Master's,7,3,3,49.83
17.2,Bachelor's,13,6,6,100.0
1.1,Bachelor's,7,1,4,28.38
3.3,Bachelor's,9,2,3,28.16
2.3,Bachelor's,8,1,5,29.19
5.4,PhD,10,3,3,61.0
3.1,Master's,3,4,6,47.78
6.4,Diploma,7,2,8,44.05
7.4,PhD,17,2,6,99.37
1.0,Bachelor's,8,0,3,10.65
2.1,Bachelor's,6,2,3,21.63
6.8,Bachelor's,9,4,7,73.7
8.5,Master's,13,1,5,60.77
4.7,Bachelor's,9,0,2,7.0
5.6,Bachelor's,6,0,5,24.83
10.6,Master's,15,2,6,92.7
3.1,Diploma,5,2,8,28.48
4.6,PhD,9,2,9,68.52
9.2,Bachelor's,14,4,14,100.0
9.6,Bachelor's,8,1,7,54.02
3.8,Master's,6,1,6,30.77
2.1,Bachelor's,10,4,2,36.25
3.8,Bachelor's,10,0,2,30.4
4.1,Bachelor's,8,1,5,32.59
2.1,Master's,14,2,1,34.98
2.4,Master's,7,1,4,47.34
9.6,Master's,12,3,6,75.6
5.8,Bachelor's,11,2,3,48.27
3.3,Bachelor's,8,1,7,44.32
1.6,Bachelor's,7,0,5,23.32
2.4,High School,7,1,5,4.96
0.8,Master's,4,3,8,30.69
4.8,Bachelor's,9,2,3,46.5
2.3,Bachelor's,9,4,5,37.24
5.0,Bachelor's,10,3,2,49.74
6.8,Bachelor's,11,1,10,72.54
5.1,Bachelor's,13,0,2,26.83
3.0,Bachelor's,8,3,5,31.72
2.0,Bachelor's,2,1,2,2.6
1.4,Bachelor's,11,1,4,37.58
9.0,Bachelor's,8,3,8,62.91
4.9,Master's,8,4,3,56.23
3.1,Diploma,8,0,5,12.99
6.2,Bachelor's,13,4,6,75.45
8.0,Bachelor's,9,1,6,46.74
2.3,Bachelor's,10,1,3,22.86
4.8,Master's,13,2,5,55.89
4.9,Bachelor's,10,1,8,42.71
10.3,PhD,18,1,9,100.0
3.1,Master's,17,2,5,65.27
1.9,Bachelor's,11,2,7,38.83
5.2,Bachelor's,11,0,3,22.05
6.5,Bachelor's,12,1,8,57.96
4.6,Bachelor's,7,0,6,25.95
10.7,Bachelor's,7,2,6,51.93
3.1,Bachelor's,8,1,3,20.11
4.6,Bachelor's,12,3,9,67.62
1.1,Bachelor's,9,1,4,16.68
1.8,Master's,7,1,3,27.68
2.3,Master's,12,3,7,70.89
3.5,PhD,14,2,7,74.13
1.3,Bachelor's,4,1,4,6.2
6.1,Bachelor's,4,1,3,32.98
2.1,PhD,15,0,4,57.54
15.4,Master's,15,2,11,100.0
2.2,Bachelor's,12,0,3,31.7
4.3,Bachelor's,12,0,7,45.19
3.9,Diploma,7,0,5,17.2
1.7,Master's,8,0,3,15.72
3.5,Bachelor's,11,2,4,35.53
3.5,Bachelor's,7,0,4,36.57
7.4,Bachelor's,7,0,15,59.07
5.4,Bachelor's,4,1,6,32.49
6.0,Bachelor's,9,1,4,52.46
7.3,Master's,7,3,9,78.25
6.1,Bachelor's,8,1,4,39.72
4.8,High School,9,2,2,8.43
2.3,Bachelor's,11,2,5,36.53
4.6,Master's,7,3,2,42.37
2.0,Bachelor's,10,1,6,38.59
3.7,Bachelor's,6,1,4,35.17
3.4,Bachelor's,6,1,2,19.9
3.5,Master's,13,4,1,53.1
1.3,Master's,7,5,8,61.3
0.1,Master's,9,2,1,32.29
2.9,Diploma,10,1,7,33.88
8.5,Master's,9,1,4,55.47
4.2,Master's,12,1,5,46.41
8.1,Bachelor's,12,0,5,59.05
2.0,Bachelor's,9,0,4,21.23
2.8,Bachelor's,6,1,3,22.02
16.0,Bachelor's,6,3,9,81.17
2.1,Bachelor's,9,3,6,38.3
6.0,High School,4,2,3,12.69
6.0,PhD,13,6,4,83.9
5.5,Bachelor's,9,0,2,19.01
6.0,Bachelor's,14,2,8,79.0
2.0,Bachelor's,12,0,1,27.47
3.0,Bachelor's,4,1,3,19.16
0.2,Bachelor's,10,2,1,12.91
10.5,Bachelor's,10,2,6,67.46
6.0,Bachelor's,8,1,5,39.69
2.3,PhD,13,0,6,56.7
2.0,Bachelor's,11,1,3,28.97
8.6,PhD,9,2,11,82.69
2.2,Master's,9,1,3,20.59
2.3,Bachelor's,11,1,3,32.7
1.6,Bachelor's,10,1,1,21.4
6.8,Diploma,10,3,5,48.27
8.0,Master's,8,4,3,70.33
3.4,Bachelor's,9,0,7,39.87
8.1,Bachelor's,8,3,3,60.87
5.2,Master's,9,5,3,72.16
1.5,Bachelor's,9,1,2,20.94
10.0,Master's,12,1,4,69.95
1.6,Bachelor's,10,1,0,18.92
3.6,Master's,14,2,5,51.02
3.4,Bachelor's,7,1,3,31.11
2.9,Diploma,8,0,3,14.51
0.6,Master's,4,0,0,0.0
13.9,Diploma,9,6,8,99.32
0.7,PhD,12,2,4,53.27
10.4,Master's,21,5,11,100.0
1.9,Bachelor's,3,0,3,4.74
2.5,Bachelor's,4,2,4,21.01
9.7,Master's,8,3,10,100.0
5.6,Bachelor's,8,0,6,35.37
1.1,Master's,6,2,3,27.84
1.1,Diploma,7,0,5,8.58
5.0,Master's,16,3,4,66.66
1.6,Bachelor's,6,0,4,17.06
5.8,Master's,10,4,7,68.63
6.2,Bachelor's,7,1,1,30.38
2.1,Diploma,5,2,0,0.0
2.6,PhD,11,2,4,55.34
5.1,PhD,11,0,1,41.37
2.0,Bachelor's,12,2,3,32.78
4.3,PhD,9,2,4,46.81
16.6,Diploma,12,7,10,95.53
5.3,Diploma,10,2,4,31.97
3.0,Diploma,9,0,5,7.44
14.8,Bachelor's,11,1,9,97.73
7.1,Diploma,7,1,7,34.06
1.6,Bachelor's,15,0,4,41.32
1.9,Diploma,11,1,6,30.14
0.8,Master's,11,2,5,39.18
5.1,Master's,8,1,10,59.51
0.5,Master's,5,3,2,33.32
14.8,Bachelor's,7,3,8,87.0
3.3,Master's,8,3,4,55.44
7.4,Bachelor's,11,6,1,58.36
3.0,Master's,8,0,4,38.35
5.0,Bachelor's,14,1,3,41.08
3.6,Bachelor's,11,1,3,41.78
4.2,Diploma,13,3,1,41.26
9.0,Master's,8,5,3,62.2
12.0,PhD,11,1,8,96.42
11.4,Master's,8,1,8,67.2
25.0,PhD,14,8,11,100.0
2.2,PhD,21,0,5,67.25
5.4,Diploma,10,2,8,48.79
2.3,Master's,11,1,3,46.26
8.8,Bachelor's,8,3,5,58.39
1.7,Bachelor's,7,1,4,28.62
9.1,Diploma,7,1,9,50.63
4.7,PhD,17,1,8,98.56
3.8,Master's,13,0,6,45.96
4.1,Bachelor's,5,0,7,25.93
1.4,Bachelor's,9,1,4,11.98
1.6,Bachelor's,9,0,2,13.91
4.7,Master's,6,1,2,24.43
4.7,Master's,15,0,4,45.33
2.4,Bachelor's,13,2,3,28.78
3.2,Bachelor's,4,0,5,14.38
5.7,Bachelor's,8,1,3,35.33
2.0,Bachelor's,6,1,4,24.32
0.7,Bachelor's,5,1,2,16.11
10.7,Diploma,13,3,8,80.74
5.0,Diploma,7,1,5,16.32
2.7,Bachelor's,7,0,2,9.16
2.3,Master's,10,1,3,39.88
2.0,Bachelor's,9,1,2,23.52
8.8,Bachelor's,8,1,7,64.52
1.2,Master's,10,2,4,40.76
5.4,PhD,12,1,4,71.19
5.3,Bachelor's,7,1,1,22.99
6.9,High School,4,1,6,18.43
2.9,Master's,12,1,2,44.85
10.1,Bachelor's,11,0,8,63.32
7.0,Master's,10,3,8,69.25
2.9,Bachelor's,10,2,7,48.45
2.2,High School,4,1,3,0.0
3.6,Bachelor's,13,1,5,45.73
2.8,Master's,9,4,7,43.15
1.9,Bachelor's,12,1,4,33.34
4.2,Bachelor's,9,1,4,39.34
3.2,Bachelor's,8,2,1,17.71
11.8,Master's,15,3,6,100.0
2.8,Diploma,3,3,1,1.87
2.2,Master's,14,1,4,48.18
4.0,Master's,8,1,8,54.99
4.9,Bachelor's,8,2,4,31.98
5.1,PhD,8,3,6,77.26
5.1,Master's,14,3,5,80.74
4.1,Bachelor's,11,2,4,35.37
3.9,High School,10,2,3,15.61
6.2,Bachelor's,6,0,5,45.33
1.7,Bachelor's,8,0,7,36.84
2.2,Bachelor's,6,1,2,3.63
0.9,Master's,7,1,7,47.64
1.7,Master's,6,0,5,3.28
